customerid,orders,revenue,first_purchase,last_purchase,is_repeat_buyer
12524,17,11126.11,2010-02-08 14:41:00,2011-11-30 15:31:00,True
12525,3,973.73,2010-03-02 14:01:00,2010-07-29 16:08:00,True
12526,3,1316.6599999999999,2011-09-06 14:19:00,2011-12-09 12:09:00,True
12527,5,735.51,2010-06-28 15:37:00,2011-09-19 11:55:00,True
12528,6,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,True
12529,1,316.48,2010-06-29 13:10:00,2010-06-29 13:10:00,False
12530,9,3759.26,2010-03-07 14:37:00,2011-10-11 12:34:00,True
12531,2,1933.2,2010-01-22 14:17:00,2011-11-25 11:12:00,True
12532,1,349.83000000000004,2011-11-09 13:47:00,2011-11-09 13:47:00,False
12533,2,1367.8899999999999,2009-12-01 11:50:00,2010-03-22 10:56:00,True
12534,1,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,False
12535,2,716.3499999999999,2011-06-06 12:47:00,2011-09-09 08:48:00,True
12536,3,12601.830000000002,2011-10-11 14:52:00,2011-10-27 14:20:00,True
12537,1,732.94,2010-10-27 08:36:00,2010-10-27 08:36:00,False
12538,2,640.45,2010-11-26 13:02:00,2011-11-10 17:16:00,True
12539,7,11214.75,2009-12-23 13:00:00,2011-11-17 13:30:00,True
12540,33,22254.489999999998,2009-12-07 16:56:00,2011-11-20 11:31:00,True
12541,3,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,True
12542,2,481.88,2010-03-09 16:26:00,2010-08-12 19:12:00,True
12543,1,980.25,2010-09-17 15:51:00,2010-09-17 15:51:00,False
12544,1,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,False
12545,2,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,True
12546,2,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,True
12547,3,383.58,2010-07-27 13:55:00,2011-05-26 12:38:00,True
12548,1,95.19999999999999,2011-06-26 15:35:00,2011-06-26 15:35:00,False
12549,6,1575.68,2010-01-11 12:29:00,2010-05-13 12:05:00,True
12550,1,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,False
12551,1,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,False
12552,2,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,True
12553,12,4608.75,2010-10-12 13:35:00,2011-12-01 16:38:00,True
12554,1,468.5,2010-09-17 12:29:00,2010-09-17 12:29:00,False
12555,1,129.23,2010-01-26 16:26:00,2010-01-26 16:26:00,False
12556,2,603.71,2011-07-11 13:35:00,2011-10-20 13:06:00,True
12557,8,18716.14,2009-12-17 10:39:00,2011-11-23 16:59:00,True
12558,1,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,False
12559,2,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,True
12560,3,2134.01,2011-07-19 15:55:00,2011-12-04 13:54:00,True
12561,1,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,False
12562,9,4966.92,2010-09-30 13:13:00,2011-12-01 17:20:00,True
12563,1,249.24,2010-10-27 09:52:00,2010-10-27 09:52:00,False
12564,1,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,False
12565,1,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,False
12566,1,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,False
12567,15,13709.86,2010-02-11 10:30:00,2011-11-17 11:02:00,True
12568,1,70.0,2010-03-05 09:15:00,2010-03-05 09:15:00,False
12569,32,4124.6900000000005,2011-04-01 13:47:00,2011-12-07 16:24:00,True
12570,1,77.52,2010-01-26 17:28:00,2010-01-26 17:28:00,False
12571,2,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,True
12572,2,1020.4200000000001,2011-10-19 08:20:00,2011-12-01 09:20:00,True
12573,5,717.4100000000001,2010-08-31 17:25:00,2011-04-26 15:52:00,True
12574,1,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,False
12575,2,622.8199999999999,2010-07-01 09:15:00,2010-09-08 13:09:00,True
12576,8,2142.72,2010-07-01 13:46:00,2011-11-04 10:11:00,True
12577,8,1653.75,2009-12-03 19:31:00,2011-11-04 13:24:00,True
12578,4,4642.45,2010-09-22 11:19:00,2011-11-18 13:30:00,True
12579,1,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,False
12580,2,1052.9,2010-05-12 11:45:00,2011-04-07 10:24:00,True
12581,1,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,False
12582,4,1980.4,2010-05-11 09:55:00,2011-04-15 08:45:00,True
12583,27,14447.439999999999,2009-12-06 11:57:00,2011-12-07 08:07:00,True
12584,9,2338.15,2011-03-04 15:15:00,2011-12-06 09:35:00,True
12585,2,2040.1,2010-12-23 12:58:00,2011-04-19 13:39:00,True
12586,4,2062.67,2009-12-16 13:15:00,2011-11-22 16:24:00,True
12587,1,144.0,2011-12-02 12:47:00,2011-12-02 12:47:00,False
12588,4,958.78,2010-04-21 12:22:00,2011-10-31 15:01:00,True
12589,8,4695.66,2010-01-19 12:26:00,2011-11-11 10:19:00,True
12590,2,9864.26,2011-05-12 14:46:00,2011-05-12 14:52:00,True
12591,3,1352.15,2010-10-27 10:42:00,2011-01-26 14:35:00,True
12592,5,2582.66,2010-07-08 14:06:00,2011-09-08 15:04:00,True
12593,3,418.1,2011-05-05 09:29:00,2011-08-23 12:43:00,True
12594,15,5090.110000000001,2010-03-03 13:51:00,2011-11-02 12:20:00,True
12595,1,299.02,2010-07-23 09:10:00,2010-07-23 09:10:00,False
12596,2,618.27,2011-04-11 13:22:00,2011-10-19 13:02:00,True
12597,4,3811.22,2011-03-16 14:00:00,2011-11-20 13:33:00,True
12598,11,4534.09,2010-03-01 09:58:00,2011-11-30 12:18:00,True
12599,13,2296.7200000000003,2010-05-11 10:42:00,2011-11-10 13:34:00,True
12600,21,5043.92,2009-12-07 13:37:00,2011-11-11 10:29:00,True
12601,6,681.26,2010-10-31 10:57:00,2011-06-03 10:17:00,True
12602,1,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,False
12603,1,739.1999999999999,2011-11-18 10:42:00,2011-11-18 10:42:00,False
12604,2,254.18,2011-03-23 12:06:00,2011-09-21 14:08:00,True
12605,4,1232.95,2010-09-07 14:21:00,2010-11-28 14:18:00,True
12606,1,21.0,2010-01-26 16:23:00,2010-01-26 16:23:00,False
12607,1,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,False
12608,1,415.79,2010-10-31 10:49:00,2010-10-31 10:49:00,False
12609,9,3435.86,2009-12-20 13:30:00,2011-09-22 16:34:00,True
12610,5,2099.54,2011-08-05 13:52:00,2011-11-17 09:34:00,True
12611,1,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,False
12612,1,704.0400000000001,2011-09-26 15:35:00,2011-09-26 15:35:00,False
12613,10,6835.07,2009-12-14 13:10:00,2011-10-13 14:59:00,True
12614,1,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,False
12615,8,5740.9800000000005,2010-03-18 14:09:00,2011-12-07 15:02:00,True
12616,3,1131.1,2010-11-16 11:38:00,2011-09-05 15:17:00,True
12617,1,355.53,2011-11-10 14:39:00,2011-11-10 14:39:00,False
12618,1,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,False
12619,10,3781.38,2010-05-28 12:52:00,2011-11-23 14:52:00,True
12620,3,1339.4099999999999,2011-05-19 12:10:00,2011-11-25 10:20:00,True
12621,35,24775.809999999998,2010-02-09 12:01:00,2011-12-08 11:25:00,True
12622,1,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,False
12623,7,3747.84,2010-01-12 11:45:00,2011-03-08 13:50:00,True
12624,2,641.13,2011-06-15 12:34:00,2011-08-25 15:04:00,True
12625,4,5164.88,2010-04-22 11:33:00,2011-05-12 09:54:00,True
12626,9,6620.48,2011-01-17 11:01:00,2011-11-16 16:06:00,True
12627,7,4478.53,2011-07-22 13:59:00,2011-11-29 12:07:00,True
12628,3,786.46,2011-10-06 09:28:00,2011-12-05 13:15:00,True
12629,2,1558.22,2010-10-12 16:40:00,2010-11-19 09:18:00,True
12630,2,1270.88,2011-10-27 10:41:00,2011-11-30 10:48:00,True
12631,6,3481.5699999999997,2010-01-15 14:50:00,2011-10-13 13:53:00,True
12632,2,804.88,2010-05-24 09:07:00,2010-07-07 09:39:00,True
12633,7,5678.16,2010-07-02 11:44:00,2011-10-12 11:40:00,True
12634,2,490.0,2010-06-09 15:41:00,2010-06-22 10:05:00,True
12635,4,2930.41,2010-09-09 10:50:00,2011-09-11 11:04:00,True
12636,1,141.0,2009-12-01 09:55:00,2009-12-01 09:55:00,False
12637,12,8340.31,2010-06-14 13:36:00,2011-10-03 13:46:00,True
12638,2,921.49,2010-03-10 10:30:00,2011-11-06 13:11:00,True
12639,3,1312.37,2010-03-22 09:05:00,2011-04-15 12:48:00,True
12640,3,1174.5800000000002,2011-09-19 12:01:00,2011-11-16 11:52:00,True
12641,1,185.9,2011-08-16 13:26:00,2011-08-16 13:26:00,False
12642,3,1013.26,2011-08-24 09:23:00,2011-11-14 15:03:00,True
12643,12,8350.42,2010-04-07 14:16:00,2011-08-03 12:56:00,True
12644,4,1918.4900000000002,2010-01-14 13:02:00,2011-08-02 10:33:00,True
12645,8,3539.3,2010-02-09 10:49:00,2011-11-06 12:38:00,True
12646,2,1346.9699999999998,2011-10-21 12:52:00,2011-12-05 10:14:00,True
12647,36,17924.35,2010-01-13 15:06:00,2011-11-17 12:56:00,True
12648,4,1112.0,2010-01-07 18:38:00,2011-07-08 11:55:00,True
12649,8,2294.65,2010-01-12 17:24:00,2011-08-24 14:41:00,True
12650,1,314.44,2011-12-06 16:34:00,2011-12-06 16:34:00,False
12651,4,377.75,2010-08-31 15:21:00,2011-01-09 12:46:00,True
12652,2,1017.03,2010-10-01 15:16:00,2011-01-12 15:00:00,True
12653,3,4160.83,2010-07-01 09:56:00,2011-07-14 10:41:00,True
12654,5,601.98,2011-02-17 13:16:00,2011-11-29 10:10:00,True
12655,1,261.35,2010-10-12 09:17:00,2010-10-12 09:17:00,False
12656,8,6407.83,2010-05-26 09:00:00,2011-11-22 13:42:00,True
12657,4,1643.18,2011-09-22 11:40:00,2011-11-28 15:47:00,True
12658,1,686.05,2011-11-21 10:22:00,2011-11-21 10:22:00,False
12659,1,91.68,2011-11-10 11:53:00,2011-11-10 11:53:00,False
12660,1,245.1,2011-11-28 13:26:00,2011-11-28 13:26:00,False
12661,1,162.0,2010-09-29 16:46:00,2010-09-29 16:46:00,False
12662,20,6988.02,2010-04-01 09:50:00,2011-12-09 11:59:00,True
12663,2,239.4,2010-02-09 14:28:00,2010-03-25 09:40:00,True
12664,11,6070.04,2009-12-13 10:28:00,2011-12-01 17:07:00,True
12665,3,313.6,2010-02-08 15:11:00,2011-01-19 08:34:00,True
12666,1,1248.42,2010-11-10 16:40:00,2010-11-10 16:40:00,False
12667,1,620.13,2011-10-12 17:00:00,2011-10-12 17:00:00,False
12668,10,11444.68,2010-01-31 15:45:00,2011-11-28 10:56:00,True
12669,3,2744.0299999999997,2011-03-28 10:15:00,2011-07-12 09:54:00,True
12670,7,3760.29,2010-02-11 10:13:00,2011-11-29 15:23:00,True
12671,1,2622.481,2010-04-12 16:30:00,2010-04-12 16:30:00,False
12672,2,437.04999999999995,2010-04-23 09:57:00,2011-01-14 09:20:00,True
12673,3,1230.02,2010-11-03 10:46:00,2011-12-04 13:55:00,True
12674,4,1970.6,2011-05-16 09:10:00,2011-11-01 12:12:00,True
12675,2,958.5,2010-05-10 16:44:00,2010-06-04 09:49:00,True
12676,11,2843.09,2010-08-13 13:29:00,2011-11-15 12:25:00,True
12677,2,395.1,2010-02-11 13:55:00,2010-06-02 14:30:00,True
12678,21,34281.18,2010-01-07 16:46:00,2011-10-28 13:04:00,True
12679,4,1113.02,2011-03-01 12:26:00,2011-10-12 12:30:00,True
12680,4,880.81,2011-08-18 15:44:00,2011-12-09 12:50:00,True
12681,45,30868.28,2009-12-13 13:31:00,2011-11-25 11:33:00,True
12682,52,24033.91,2009-12-01 09:28:00,2011-12-06 10:00:00,True
12683,21,12696.78,2009-12-13 15:01:00,2011-12-05 16:31:00,True
12684,7,2283.63,2011-05-10 12:55:00,2011-12-02 09:53:00,True
12685,6,2863.08,2011-09-07 10:28:00,2011-11-11 13:46:00,True
12686,1,178.28,2010-12-03 09:51:00,2010-12-03 09:51:00,False
12687,2,2138.91,2010-08-16 12:10:00,2010-08-16 12:12:00,True
12688,1,4873.8099999999995,2011-08-18 08:49:00,2011-08-18 08:49:00,False
12689,2,1247.61,2011-08-04 10:04:00,2011-11-14 08:31:00,True
12690,1,389.01,2011-05-18 09:09:00,2011-05-18 09:09:00,False
12691,7,1170.4,2010-10-15 12:00:00,2011-11-11 16:49:00,True
12692,1,110.95,2010-03-12 14:02:00,2010-03-12 14:02:00,False
12693,7,1703.02,2010-07-05 13:56:00,2011-08-04 17:51:00,True
12694,3,1843.35,2010-10-14 19:39:00,2011-09-30 13:06:00,True
12695,7,1407.12,2010-02-12 13:22:00,2011-12-02 13:22:00,True
12696,2,851.91,2010-07-19 10:02:00,2010-10-01 10:43:00,True
12697,3,957.5899999999999,2011-06-23 15:44:00,2011-11-11 08:47:00,True
12698,1,339.75,2010-04-28 15:51:00,2010-04-28 15:51:00,False
12699,1,638.11,2010-10-18 12:07:00,2010-10-18 12:07:00,False
12700,4,4939.99,2011-05-08 16:10:00,2011-12-02 10:47:00,True
12701,6,2446.41,2010-03-16 13:23:00,2011-09-21 10:47:00,True
12702,1,219.0,2011-11-20 10:36:00,2011-11-20 10:36:00,False
12703,4,1006.53,2010-01-24 12:05:00,2011-09-29 17:52:00,True
12704,8,2340.84,2011-06-23 10:20:00,2011-12-02 13:15:00,True
12705,14,11762.1,2010-06-24 09:51:00,2011-11-24 13:17:00,True
12707,1,603.42,2011-02-21 08:38:00,2011-02-21 08:38:00,False
12708,18,5314.099999999999,2009-12-18 10:25:00,2011-11-10 09:52:00,True
12709,34,31093.34,2009-12-09 13:49:00,2011-11-24 15:38:00,True
12710,3,1149.02,2011-05-22 14:05:00,2011-09-04 12:00:00,True
12711,2,1339.05,2010-02-01 11:30:00,2010-04-07 11:59:00,True
12712,21,7193.66,2009-12-09 10:46:00,2011-11-11 08:19:00,True
