invoice,invoicedate,customerid,items,qty,revenue,country,month,order_month,cohort_month,month_index
489695,2009-12-02 10:48:00,16202,15,121,306.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489699,2009-12-02 10:51:00,16700,25,238,401.7,United Kingdom,2009-12-01,2009-12,2009-12,0
489702,2009-12-02 10:52:00,17511,30,2020,3108.64,United Kingdom,2009-12-01,2009-12,2009-12,0
489705,2009-12-02 10:52:00,16700,1,4,17.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489723,2009-12-02 10:58:00,14299,26,1339,2052.12,United Kingdom,2009-12-01,2009-12,2009-12,0
489725,2009-12-02 11:07:00,17949,1,300,216.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489726,2009-12-02 11:07:00,17949,1,200,750.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489727,2009-12-02 11:09:00,17949,1,450,900.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489728,2009-12-02 11:18:00,14799,10,349,180.45,United Kingdom,2009-12-01,2009-12,2009-12,0
489733,2009-12-02 11:20:00,15311,2,48,168.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489743,2009-12-02 11:24:00,16550,33,320,538.77,United Kingdom,2009-12-01,2009-12,2009-12,0
489748,2009-12-02 11:26:00,12980,3,84,754.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489764,2009-12-02 11:31:00,14425,14,82,223.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489765,2009-12-02 11:33:00,15353,41,91,285.59,United Kingdom,2009-12-01,2009-12,2009-12,0
489766,2009-12-02 11:34:00,17818,46,90,130.18,United Kingdom,2009-12-01,2009-12,2009-12,0
489780,2009-12-02 11:43:00,13654,8,90,159.98000000000002,United Kingdom,2009-12-01,2009-12,2009-12,0
489782,2009-12-02 11:45:00,17189,22,148,230.46,United Kingdom,2009-12-01,2009-12,2009-12,0
489783,2009-12-02 11:47:00,13269,7,152,162.04,United Kingdom,2009-12-01,2009-12,2009-12,0
489784,2009-12-02 11:48:00,13269,4,48,40.8,United Kingdom,2009-12-01,2009-12,2009-12,0
489785,2009-12-02 11:51:00,14653,20,250,333.67,United Kingdom,2009-12-01,2009-12,2009-12,0
489786,2009-12-02 11:52:00,17019,44,199,216.86,United Kingdom,2009-12-01,2009-12,2009-12,0
489787,2009-12-02 11:53:00,15542,74,127,319.54,United Kingdom,2009-12-01,2009-12,2009-12,0
489788,2009-12-02 11:55:00,13564,17,38,119.16,United Kingdom,2009-12-01,2009-12,2009-12,0
489789,2009-12-02 11:59:00,15833,5,24,80.4,United Kingdom,2009-12-01,2009-12,2009-12,0
489790,2009-12-02 11:59:00,16467,2,88,131.12,United Kingdom,2009-12-01,2009-12,2009-12,0
489791,2009-12-02 12:06:00,15542,65,90,221.19,United Kingdom,2009-12-01,2009-12,2009-12,0
489792,2009-12-02 12:06:00,14527,58,165,923.79,United Kingdom,2009-12-01,2009-12,2009-12,0
489793,2009-12-02 12:09:00,17476,16,124,260.36,United Kingdom,2009-12-01,2009-12,2009-12,0
489794,2009-12-02 12:13:00,15287,4,55,58.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489795,2009-12-02 12:13:00,14440,13,287,935.01,United Kingdom,2009-12-01,2009-12,2009-12,0
489796,2009-12-02 12:15:00,15680,19,268,311.5,United Kingdom,2009-12-01,2009-12,2009-12,0
489797,2009-12-02 12:19:00,15581,26,142,200.63,United Kingdom,2009-12-01,2009-12,2009-12,0
489798,2009-12-02 12:22:00,13740,20,97,311.69,United Kingdom,2009-12-01,2009-12,2009-12,0
489800,2009-12-02 12:26:00,17768,32,532,408.07,United Kingdom,2009-12-01,2009-12,2009-12,0
489801,2009-12-02 12:28:00,12948,6,144,128.48000000000002,United Kingdom,2009-12-01,2009-12,2009-12,0
489802,2009-12-02 12:32:00,15581,45,156,174.52,United Kingdom,2009-12-01,2009-12,2009-12,0
489804,2009-12-02 12:38:00,14667,16,185,251.17000000000002,United Kingdom,2009-12-01,2009-12,2009-12,0
489805,2009-12-02 12:39:00,17377,46,227,454.35,United Kingdom,2009-12-01,2009-12,2009-12,0
489807,2009-12-02 12:43:00,15581,28,241,180.13,United Kingdom,2009-12-01,2009-12,2009-12,0
489808,2009-12-02 12:44:00,14467,17,82,109.84,United Kingdom,2009-12-01,2009-12,2009-12,0
489809,2009-12-02 12:46:00,13457,6,68,112.5,United Kingdom,2009-12-01,2009-12,2009-12,0
489810,2009-12-02 12:47:00,18108,26,165,493.25,United Kingdom,2009-12-01,2009-12,2009-12,0
489811,2009-12-02 12:54:00,16210,9,515,634.29,United Kingdom,2009-12-01,2009-12,2009-12,0
489812,2009-12-02 13:00:00,17377,25,85,597.6899999999999,United Kingdom,2009-12-01,2009-12,2009-12,0
489814,2009-12-02 13:06:00,14669,89,506,824.1800000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489815,2009-12-02 13:10:00,17909,9,41,132.55,United Kingdom,2009-12-01,2009-12,2009-12,0
489816,2009-12-02 13:20:00,16086,27,258,284.55,United Kingdom,2009-12-01,2009-12,2009-12,0
489817,2009-12-02 13:22:00,16711,3,132,340.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489818,2009-12-02 13:23:00,16233,14,102,294.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489819,2009-12-02 13:23:00,14739,13,465,618.4300000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489822,2009-12-02 13:26:00,14204,54,103,371.27000000000004,United Kingdom,2009-12-01,2009-12,2009-12,0
489823,2009-12-02 13:32:00,17606,6,42,87.30000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489824,2009-12-02 13:33:00,16797,44,127,176.88,United Kingdom,2009-12-01,2009-12,2009-12,0
489825,2009-12-02 13:34:00,16126,10,94,174.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489826,2009-12-02 13:39:00,17867,10,17,85.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489827,2009-12-02 13:51:00,17412,23,382,445.7,United Kingdom,2009-12-01,2009-12,2009-12,0
489829,2009-12-02 13:53:00,16525,8,237,472.47,United Kingdom,2009-12-01,2009-12,2009-12,0
489830,2009-12-02 13:57:00,13623,69,242,637.04,United Kingdom,2009-12-01,2009-12,2009-12,0
489831,2009-12-02 13:58:00,12435,1,480,1008.0,Denmark,2009-12-01,2009-12,2009-12,0
489832,2009-12-02 14:06:00,14549,55,122,316.22,United Kingdom,2009-12-01,2009-12,2009-12,0
489833,2009-12-02 14:09:00,14980,24,79,150.68,United Kingdom,2009-12-01,2009-12,2009-12,0
489834,2009-12-02 14:09:00,14106,1,24,214.79999999999998,United Kingdom,2009-12-01,2009-12,2009-12,0
489835,2009-12-02 14:15:00,15061,2,280,714.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489837,2009-12-02 14:21:00,14396,47,274,514.97,United Kingdom,2009-12-01,2009-12,2009-12,0
489840,2009-12-02 14:22:00,14122,1,6,89.69999999999999,United Kingdom,2009-12-01,2009-12,2009-12,0
489855,2009-12-02 14:34:00,16987,29,56,157.91,United Kingdom,2009-12-01,2009-12,2009-12,0
489862,2009-12-02 14:52:00,17809,4,150,734.7,United Kingdom,2009-12-01,2009-12,2009-12,0
489863,2009-12-02 14:55:00,15917,18,21,66.82,United Kingdom,2009-12-01,2009-12,2009-12,0
489864,2009-12-02 14:56:00,14987,3,79,206.85,United Kingdom,2009-12-01,2009-12,2009-12,0
489865,2009-12-02 15:01:00,14080,18,53,234.87,United Kingdom,2009-12-01,2009-12,2009-12,0
489866,2009-12-02 15:04:00,16200,120,587,1003.83,United Kingdom,2009-12-01,2009-12,2009-12,0
489868,2009-12-02 15:10:00,15794,14,248,675.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489869,2009-12-02 15:15:00,16200,17,27,39.980000000000004,United Kingdom,2009-12-01,2009-12,2009-12,0
489870,2009-12-02 15:16:00,15523,3,118,162.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489871,2009-12-02 15:17:00,15523,5,274,735.7,United Kingdom,2009-12-01,2009-12,2009-12,0
489872,2009-12-02 15:28:00,15615,22,320,632.9,United Kingdom,2009-12-01,2009-12,2009-12,0
489873,2009-12-02 15:29:00,15615,1,12,10.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489874,2009-12-02 15:38:00,18001,12,144,176.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489875,2009-12-02 15:41:00,17841,95,219,530.76,United Kingdom,2009-12-01,2009-12,2009-12,0
489876,2009-12-02 15:44:00,15917,18,22,39.85,United Kingdom,2009-12-01,2009-12,2009-12,0
489877,2009-12-02 15:44:00,13089,4,162,368.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489878,2009-12-02 15:51:00,15989,38,56,143.11,United Kingdom,2009-12-01,2009-12,2009-12,0
489879,2009-12-02 16:02:00,17660,44,138,163.47,United Kingdom,2009-12-01,2009-12,2009-12,0
489880,2009-12-02 16:18:00,13313,22,552,380.28000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489883,2009-12-02 16:24:00,12437,27,263,578.28,France,2009-12-01,2009-12,2009-12,0
489884,2009-12-02 16:24:00,13313,1,19,3.61,United Kingdom,2009-12-01,2009-12,2009-12,0
489888,2009-12-02 16:49:00,14841,26,660,597.4,United Kingdom,2009-12-01,2009-12,2009-12,0
489889,2009-12-02 16:52:00,14646,20,3200,4734.24,Netherlands,2009-12-01,2009-12,2009-12,0
489890,2009-12-02 16:53:00,14646,3,592,976.8,Netherlands,2009-12-01,2009-12,2009-12,0
489891,2009-12-02 16:59:00,15482,6,144,181.08,United Kingdom,2009-12-01,2009-12,2009-12,0
489893,2009-12-02 17:06:00,16156,9,98,300.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489894,2009-12-02 17:18:00,17716,27,396,520.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489895,2009-12-03 07:25:00,12779,22,266,371.82,Poland,2009-12-01,2009-12,2009-12,0
489896,2009-12-03 07:57:00,13611,20,227,337.93,United Kingdom,2009-12-01,2009-12,2009-12,0
489897,2009-12-03 09:10:00,15255,13,176,260.44,United Kingdom,2009-12-01,2009-12,2009-12,0
489900,2009-12-03 09:44:00,14771,19,253,287.37,United Kingdom,2009-12-01,2009-12,2009-12,0
489902,2009-12-03 09:52:00,14838,4,18,119.10000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489904,2009-12-03 10:02:00,13979,13,150,203.78,United Kingdom,2009-12-01,2009-12,2009-12,0
489905,2009-12-03 10:03:00,13800,19,242,478.7,United Kingdom,2009-12-01,2009-12,2009-12,0
489906,2009-12-03 10:16:00,14483,4,96,120.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489907,2009-12-03 10:17:00,14915,11,104,202.06,United Kingdom,2009-12-01,2009-12,2009-12,0
489908,2009-12-03 10:20:00,16301,6,41,107.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489909,2009-12-03 10:20:00,13753,16,428,642.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489910,2009-12-03 10:23:00,15482,1,288,144.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489912,2009-12-03 10:26:00,13931,58,578,1146.1000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489913,2009-12-03 10:28:00,13931,3,16,69.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489914,2009-12-03 10:28:00,12921,29,508,993.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489915,2009-12-03 10:37:00,17035,2,36,54.599999999999994,United Kingdom,2009-12-01,2009-12,2009-12,0
489916,2009-12-03 10:37:00,15194,9,212,336.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489932,2009-12-03 10:49:00,14347,6,48,82.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489935,2009-12-03 10:51:00,12934,2,31,181.65,United Kingdom,2009-12-01,2009-12,2009-12,0
489994,2009-12-03 11:09:00,15291,4,142,430.9,United Kingdom,2009-12-01,2009-12,2009-12,0
489996,2009-12-03 11:10:00,17209,5,514,320.40000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489998,2009-12-03 11:19:00,15658,17,93,321.65,United Kingdom,2009-12-01,2009-12,2009-12,0
489999,2009-12-03 11:25:00,17314,7,72,154.2,United Kingdom,2009-12-01,2009-12,2009-12,0
490000,2009-12-03 11:34:00,17155,12,89,143.06,United Kingdom,2009-12-01,2009-12,2009-12,0
490001,2009-12-03 11:45:00,15965,2,94,169.5,United Kingdom,2009-12-01,2009-12,2009-12,0
490002,2009-12-03 11:46:00,17322,28,115,114.55,United Kingdom,2009-12-01,2009-12,2009-12,0
490003,2009-12-03 11:51:00,16159,12,163,317.55,United Kingdom,2009-12-01,2009-12,2009-12,0
490004,2009-12-03 11:53:00,14051,9,224,912.5600000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
490005,2009-12-03 11:57:00,13993,25,203,556.75,United Kingdom,2009-12-01,2009-12,2009-12,0
490006,2009-12-03 12:02:00,17411,19,150,344.40000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
490008,2009-12-03 12:10:00,15768,64,257,503.93,United Kingdom,2009-12-01,2009-12,2009-12,0
490009,2009-12-03 12:13:00,12835,31,100,285.09,United Kingdom,2009-12-01,2009-12,2009-12,0
490010,2009-12-03 12:15:00,15061,1,480,1008.0,United Kingdom,2009-12-01,2009-12,2009-12,0
490011,2009-12-03 12:27:00,16918,43,138,221.69,United Kingdom,2009-12-01,2009-12,2009-12,0
490012,2009-12-03 12:27:00,15179,27,339,763.35,United Kingdom,2009-12-01,2009-12,2009-12,0
490013,2009-12-03 12:27:00,17069,33,395,500.55,United Kingdom,2009-12-01,2009-12,2009-12,0
490014,2009-12-03 12:28:00,15466,93,407,744.21,United Kingdom,2009-12-01,2009-12,2009-12,0
490017,2009-12-03 12:31:00,14159,99,267,393.65,United Kingdom,2009-12-01,2009-12,2009-12,0
490018,2009-12-03 12:31:00,17940,4,17520,4380.0,United Kingdom,2009-12-01,2009-12,2009-12,0
490019,2009-12-03 12:34:00,17581,15,116,308.6,United Kingdom,2009-12-01,2009-12,2009-12,0
490020,2009-12-03 12:36:00,17581,3,14,37.8,United Kingdom,2009-12-01,2009-12,2009-12,0
490021,2009-12-03 12:36:00,17581,1,12,10.2,United Kingdom,2009-12-01,2009-12,2009-12,0
490022,2009-12-03 12:37:00,17581,3,24,45.60000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
490023,2009-12-03 12:38:00,16168,4,49,189.15,United Kingdom,2009-12-01,2009-12,2009-12,0
490024,2009-12-03 12:40:00,14606,49,121,215.0,United Kingdom,2009-12-01,2009-12,2009-12,0
490034,2009-12-03 12:45:00,17287,11,30,69.82,United Kingdom,2009-12-01,2009-12,2009-12,0
490045,2009-12-03 12:50:00,17287,22,109,180.39,United Kingdom,2009-12-01,2009-12,2009-12,0
490046,2009-12-03 13:02:00,13416,7,66,228.3,United Kingdom,2009-12-01,2009-12,2009-12,0
490047,2009-12-03 13:02:00,17913,28,131,263.85,United Kingdom,2009-12-01,2009-12,2009-12,0
490048,2009-12-03 13:03:00,16779,35,681,1146.71,United Kingdom,2009-12-01,2009-12,2009-12,0
490049,2009-12-03 13:04:00,15794,1,40,102.0,United Kingdom,2009-12-01,2009-12,2009-12,0
